answer,clue 1,clue 2,clue 3,clue 4,clue 5
FROSMOTH,Frost Moth Pokemon,Gen VIII Ice/Bug species,Evolves from Snom,Bug egg-group species,
FROSTBITE,Gen V ability,,,,
FROST BREATH,Ice special move,critical-hit move,Gen V Ice move,60-power move,
FROST CAVERN,Kalos cave,Kalos landmark,Town-side landmark,Cave in Kalos,
FRUSTRATION,Normal physical move,Gen II Normal move,,,
FUCHSIA,Kanto city,Kanto landmark,City in Kanto,,
FUECOCO,Fire Croc Pokemon,Gen IX Fire species,Ground egg-group species,,
FULL HEAL,Cures all major status conditions,Safari Zone catcher,Great Marsh capture tool,Also cures confusion,
FULL INCENSE,Held battle item,,,,
FULL METAL BODY,Solgaleo's signature Ability,Protects stats from drops,Status-blocking trait,Prevents major status ailments,Keeps stats from falling
FULL RESTORE,Cures all major status conditions,Safari Zone catcher,Pinch-healing berry,Great Marsh capture tool,Also cures confusion
FUR COAT,Furfrou's signature Ability,Gen VI ability,,,
FURFROU,Poodle Pokemon,Gen VI Normal species,Ground egg-group species,,
FURRET,Long Body Pokemon,Gen II Normal species,Evolves from Sentret,Ground egg-group species,
FURY ATTACK,Normal physical move,Gen I Normal move,15-power move,,
FURY CUTTER,Bug physical move,Gen II Bug move,40-power move,,
FURY SWIPES,Normal physical move,Gen I Normal move,18-power move,,
FUSION BOLT,Electric physical move,Gen V Electric move,100-power move,,
FUSION FLARE,Fire special move,Gen V Fire move,100-power move,,
FUTURE SIGHT,Psychic special move,Gen II Psychic move,120-power move,,
GABITE,Cave Pokemon,Gen IV Dragon/Ground species,Evolves from Gible,Monster egg-group species,
GALACTIC HQ,Sinnoh landmark,,,,
GALACTIC KEY,Unlocks progression content,Progress-gating key item,,,
GALE WINGS,Fletchling'S Evolutionary Line's signature Ability,boosting trait,priority trait,,
GALLADE,Paradox Pokemon,Gen IV Blade Pokemon,Mega form turns Psychic/Fighting,Gen IV Psychic/Fighting species,Evolves from A
GALLADITE,Gallade Mega stone,Mega Evolution stone,Held stone for Gallade,Held Mega stone,Mega trigger stone
GALVANIZE,Alolan Geodude'S Evolutionary Line's signature Ability,Weather-linked trait,,,
GALVANTULA,EleSpider Pokemon,Gen V Bug/Electric species,Evolves from Joltik,Bug egg-group species,
GANLON BERRY,The Consumer By One Stage Defense boost item,Power item for The Consumer By One Stage,The Consumer By One Stage-only held item,Poor on most other targets,Defense boost on trigger
GAPEJAW BOG,Crimson Mirelands area,Hisui landmark,,,
GARBODOR,Trash Heap Pokemon,Gen V Poison species,Evolves from Trubbish,Mineral egg-group species,
GARCHOMP,legendary Pokemon,Gen IV Mach Pokemon,Gen IV Dragon/Ground species,Evolves from Gabite,Monster egg-group species
GARCHOMPITE,Garchomp Mega stone,Mega Evolution stone,Held stone for Garchomp,Held Mega stone,Mega trigger stone
GARDEVOIR,Fairy Pokemon,Gen III Embrace Pokemon,Mega form turns Psychic/Fairy,Gen III Psychic/Fairy species,Evolves from Kirlia
GARDEVOIRITE,Gardevoir Mega stone,Mega Evolution stone,Held stone for Gardevoir,Held Mega stone,Mega trigger stone
GARGANACL,Rock Salt Pokemon,Gen IX Rock species,Evolves from Naclstack,Mineral egg-group species,
GASTLY,Gas Pokemon,Gen I Ghost/Poison species,Indeterminate egg-group species,,
GASTRO ACID,Poison status move,Gen IV Poison move,poisoning move,,
GASTRODON,Sea Slug Pokemon,Gen IV Water/Ground species,Evolves from Shellos,Water1 egg-group species,
GB SOUNDS,Adventure utility item,,,,
GEAR GRIND,Steel physical move,Gen V Steel move,50-power move,,
GEAR STATION,Town-side landmark,Unova town,Town in Unova,Unova landmark,
GEAR UP,Steel status move,Gen VII Steel move,boosting move,,
GENESECT,Mythical Pokemon,Gen V Paleozoic Pokemon,No-Eggs egg-group species,,
GENGAR,Shadow Pokemon,Gen I Ghost/Poison species,Evolves from Haunter,Mega-evolving species,Indeterminate egg-group species
GENGARITE,Gengar Mega stone,Mega Evolution stone,Held stone for Gengar,Mega trigger stone,
GENIUS MOCHI,Gen IX vitamins,vitamins,,,
GENIUS WING,Gen V vitamins,vitamins,,,
GEODUDE,Rock Pokemon,Gen I Rock/Ground species,Mineral egg-group species,,
GEOMANCY,Fairy status move,Gen VI Fairy move,boosting move,,
GEOSENGE,Kalos town,Kalos landmark,Town-side landmark,Town in Kalos,
GHOLDENGO,Coin Entity Pokemon,Gen IX Steel/Ghost species,Evolves from Gimmighoul,No-Eggs egg-group species,
GHOST,normal-immune type,spectral element,battle element,,
GHOST GEM,Held battle item,One-use Ghost booster,,,
GHOST MEMORY,Species-linked power item,Signature battle item,,,
GIANT CHASM,Unova cave,Unova landmark,Cave in Unova,,
GIANTS BED,Galar landmark,,,,
GIANTS CAP,Galar landmark,,,,
GIANTS FOOT,Galar landmark,,,,
GIANTS MIRROR,Galar landmark,,,,
GIANTS SEAT,Galar landmark,,,,
GIBLE,Land Shark Pokemon,Gen IV Dragon/Ground species,Monster egg-group species,,
GIGA DRAIN,Self-healing move,Grass special move,Gen II Grass move,75-power move,draining move
GIGA IMPACT,Normal physical move,Gen IV Normal move,150-power move,,
GIGALITH,Compressed Pokemon,Gen V Rock species,Evolves from Boldore,Mineral egg-group species,
GIGATON HAMMER,Steel physical move,Gen IX Steel move,160-power move,,
GIMMIGHOUL,Coin Chest Pokemon,Gen IX Ghost species,No-Eggs egg-group species,,
GINKGO LANDING,Hisui landmark,Located in The Western Region Of The Cobalt Coastlands Of Hisui,,,
GIRAFARIG,Long Neck Pokemon,Gen II Normal/Psychic species,Ground egg-group species,,
GIRATINA,Legendary Pokemon,Gen IV Renegade Pokemon,No-Eggs egg-group species,,
GLACEON,Fresh Snow Pokemon,Gen IV Ice species,Evolves from Eevee,Ground egg-group species,
GLACIAL LANCE,Ice physical move,Gen VIII Ice move,120-power move,,
GLACIATE,Ice special move,Gen V Ice move,65-power move,debuffing move,
GLACIER ROOM,Unova landmark,,,,
GLAIVE RUSH,Dragon physical move,Gen IX Dragon move,120-power move,,
GLALIE,Face Pokemon,Gen III Ice species,Evolves from Snorunt,Mega-evolving species,Fairy egg-group species
GLALITITE,Glalie Mega stone,Mega Evolution stone,Held stone for Glalie,Mega trigger stone,
GLAMEOW,Catty Pokemon,Gen IV Normal species,Ground egg-group species,,
GLARE,Normal status move,paralyzing move,Gen I Normal move,,
GLASTRIER,Legendary Pokemon,Gen VIII Wild Horse Pokemon,No-Eggs egg-group species,,
GLIGAR,Fly Scorpion Pokemon,Gen II Ground/Flying species,Bug egg-group species,,
GLIMMET,Ore Pokemon,Gen IX Rock/Poison species,Mineral egg-group species,,
GLIMMORA,Ore Pokemon,Mega form turns Rock/Poison,Gen IX Rock/Poison species,Evolves from Glimmet,Mineral egg-group species
GLISCOR,Fang Scorpion Pokemon,Gen IV Ground/Flying species,Evolves from Gligar,Bug egg-group species,
GLITZY GLOW,Psychic special move,Gen VII Psychic move,80-power move,,
GLOOM,Weed Pokemon,Gen I Grass/Poison species,Evolves from Oddish,Plant egg-group species,
GLUTTONY,Gen IV ability,debuffing ability,,,
GNARLED DEN,Hidden location of the DNA Splicers,Site on Mt. Chimney,Kyurem fusion item hideout,Hoenn landmark,
GOD STONE,Bug-Catching Contest ball,Event-only distribution item,Half-HP recovery berry,National Park contest ball,Pinch-healing berry
GOGOAT,Mount Pokemon,Gen VI Grass species,Evolves from Skiddo,Ground egg-group species,
GO GOGGLES,Unlocks progression content,Progress-gating key item,Adventure utility item,,
GOLBAT,Bat Pokemon,Gen I Poison/Flying species,Evolves from Zubat,Flying egg-group species,
GOLD BOTTLE CAP,Tradable exchange item,Exchangeable collectible,Valuable sellable loot,Vendor treasure,
GOLDEEN,Goldfish Pokemon,Gen I Water species,Water2 egg-group species,,
GOLDENROD,Route 35 tower,Johto city,Johto landmark,Urban landmark,City in Johto
GOLD LEAF,Valuable sellable loot,Vendor treasure,,,
GOLD TEETH,Safari Zone catcher,Great Marsh capture tool,Unlocks progression content,Tradable exchange item,Progress-gating key item
GOLDUCK,Duck Pokemon,Gen I Water species,Evolves from Psyduck,Water1 egg-group species,
GOLEM,Megaton Pokemon,Gen I Rock/Ground species,Evolves from Graveler,Mineral egg-group species,
GOLETT,Automaton Pokemon,Gen V Ground/Ghost species,Mineral egg-group species,,
GOLISOPOD,Hard Scale Pokemon,Mega form turns Bug/Steel,Gen VII Bug/Water species,Evolves from Wimpod,Bug egg-group species
GOLURK,Automaton Pokemon,Mega form turns Ground/Ghost,Gen V Ground/Ghost species,Evolves from Golett,Mineral egg-group species
GOOD AS GOLD,Gen IX ability,,,,
GOODRA,legendary Pokemon,Gen VI Dragon Pokemon,Evolves from Sliggoo,Gray Gen VI Dragon species,Dragon egg-group species
GOOD ROD,Unlocks progression content,Progress-gating key item,Adventure utility item,,
GOOEY,Goomy'S Evolutionary Line's signature Ability,debuffing trait,,,
GOOMY,Soft Tissue Pokemon,Gen VI Dragon species,Dragon egg-group species,,
GOREBYSS,South Sea Pokemon,Gen III Water species,Evolves from Clamperl,Water1 egg-group species,
GOSSIFLEUR,Flowering Pokemon,Gen VIII Grass species,Plant egg-group species,,
GOTHITA,Fixation Pokemon,Gen V Psychic species,Humanshape egg-group species,,
GOTHITELLE,Astral Body Pokemon,Gen V Psychic species,Evolves from Gothorita,Humanshape egg-group species,
GOTHORITA,Manipulate Pokemon,Gen V Psychic species,Evolves from Gothita,Humanshape egg-group species,
GOUGING FIRE,Paradox Pokemon,No-Eggs egg-group species,,,
GOURGEIST,Pumpkin Pokemon,Gen VI Ghost/Grass species,Evolves from Pumpkaboo,Indeterminate egg-group species,
GRACIDEA,Unlocks progression content,Event-only key item,Progress-gating key item,Mythic event item,
GRAFAIAI,Toxic Monkey Pokemon,Gen IX Poison/Normal species,Evolves from Shroodle,Ground egg-group species,
GRANBULL,Fairy Pokemon,Gen II Fairy species,Evolves from Snubbull,Ground egg-group species,
GRAND LAKE,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
GRANITE CAVE,Site on Route 106,Hoenn town,Hoenn landmark,Town-side landmark,Town in Hoenn
GRAPPLOCT,Jujitsu Pokemon,Gen VIII Fighting species,Evolves from Clobbopus,Water1 egg-group species,
GRASS,leafy element,water-hitting type,,,
GRASS CLOAK,Gen V ability,,,,
GRASS GEM,Held battle item,One-use Grass booster,,,
GRASS MEMORY,Species-linked power item,Signature battle item,,,
GRASS PELT,Skiddo And Gogoat's signature Ability,Gen VI ability,,,
GRASS PLEDGE,80-power move,Grass special move,,,
GRASSY GLIDE,Grass physical move,Gen VIII Grass move,55-power move,,
GRASSY SEED,Held battle item,,,,
GRASSY SURGE,Tapu Bulu's signature Ability,Gen VII ability,,,
GRASSY TERRAIN,Grass status move,Gen VI Grass move,,,
GRAV APPLE,Grass physical move,Gen VIII Grass move,80-power move,debuffing move,
GRAVELER,Rock Pokemon,Gen I Rock/Ground species,Evolves from Geodude,Mineral egg-group species,
GRAVITY,Psychic status move,Gen IV Psychic move,,,
GREAT BALL,Safari Zone catcher,Poor on most other targets,Tradable exchange item,Exchangeable collectible,Special Poke Ball
GREAT MARSH,Sinnoh city,Sinnoh landmark,Urban landmark,City in Sinnoh,
GREAT TUSK,Paradox Pokemon,No-Eggs egg-group species,,,
GREAVARD,Ghost Dog Pokemon,Gen IX Ghost species,Ground egg-group species,,
GREEDENT,Greedy Pokemon,Gen VIII Normal species,Evolves from Skwovet,Ground egg-group species,
GREEN PATH,Island location,Kanto route,Kanto landmark,Route in Kanto,
GREEN PETAL,Part of the Rainbow Flower,Needed for Mina's Rainbow Flower,One of seven trial finds,Mina's trial collectible,Unlocks progression content
GREEN SCARF,Power item for A Pokemon Contest,A Pokemon Contest-only held item,A Pokemon Contest Its Cleverness In The Primary Round boost item,,
GRENINJA,Ninja Pokemon,Mega form turns Water/Dark,Gen VI Water/Dark species,Evolves from Frogadier,Water1 egg-group species
GREPA BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,Loamy-soil berry crop
GRIMER,Sludge Pokemon,Gen I Poison species,Indeterminate egg-group species,,
GRIMMSNARL,Fairy Pokemon,Gen VIII Bulk Up Pokemon,Purple Bulk Up Pokemon,Gen VIII Dark/Fairy species,Evolves from Morgrem
GRIM NEIGH,Spectrier's signature Ability,Gen VIII ability,,,
GRIP CLAW,Extends multiturn,Boosts trapping-move damage,Multiturn lengthener,Held item for binding damage,Strengthens multi-turn traps
GRISEOUS CORE,Unlocks progression content,Progress-gating key item,Adventure utility item,,
GRISEOUS ORB,Dragon- And Ghost-Type Moves Power boost item,Boosts Dragon/Ghost moves for Giratina,,,
GROOKEY,Chimp Pokemon,Gen VIII Grass species,Ground egg-group species,,
GROTLE,Grove Pokemon,Carries other Pokemon aloft,Gen IV Grass species,Evolves from Turtwig,Monster egg-group species
GROUDON,Legendary Pokemon,Gen III Continent Pokemon,No-Eggs egg-group species,,
GROUND,earthbound element,electric-immune type,poison-hitting type,,
GROUND GEM,Held battle item,One-use Ground booster,,,
GROUND MEMORY,Species-linked power item,Signature battle item,,,
GROVYLE,Wood Gecko Pokemon,Gen III Grass species,Evolves from Treecko,Monster egg-group species,
GROWL,Normal status move,Gen I Normal move,debuffing move,,
GROWLITHE,Puppy Pokemon,Gen I Fire species,Ground egg-group species,,
GROWTH,Normal status move,Gen I Normal move,boosting move,,
GRUBBIN,Larva Pokemon,Gen VII Bug species,Bug egg-group species,,
GRUBBY HANKY,Unlocks progression content,Progress-gating key item,Story-progress key item,Plot-critical key,
GRUDGE,Ghost status move,Gen III Ghost move,,,
GRUELING GROVE,Hisui landmark,Located in The Northeastern Region Of The Obsidian Fieldlands Of Hisui,,,
GRUMPIG,Manipulate Pokemon,Gen III Psychic species,Evolves from Spoink,Ground egg-group species,
GUARD DOG,Prevents escape,Traps opposing Pokemon,No-escape battle trait,switching trait,
GUARD SPEC,Gen I stat boosts,boosting item,,,
GUARD SPLIT,Psychic status move,Gen V Psychic move,,,
GUARD SWAP,Psychic status move,Gen IV Psychic move,,,
GUILLOTINE,Normal physical move,Gen I Normal move,,,
GULPIN,Stomach Pokemon,Gen III Poison species,Indeterminate egg-group species,,
GULP MISSILE,paralyzing ability,Cramorant's signature Ability,Gen VIII ability,debuffing ability,
GUMSHOOS,Stakeout Pokemon,Gen VII Normal species,Evolves from Yungoos,Ground egg-group species,
GUNK SHOT,Poison physical move,Gen IV Poison move,120-power move,poisoning move,
GURDURR,Muscular Pokemon,Gen V Fighting species,Evolves from Timburr,Humanshape egg-group species,
GUST,Flying special move,Gen I Flying move,40-power move,,
GUTS,burning ability,Gen III ability,,,
GUZZLORD,Dragon Pokemon,Gen VII Junkivore Pokemon,Gen VII Dark/Dragon species,No-Eggs egg-group species,
GYARADOS,Atrocious Pokemon,Mega form turns Water/Dark,Gen I Water/Flying species,Evolves from Magikarp,Water2 egg-group species
GYARADOSITE,Gyarados Mega stone,Mega Evolution stone,Held stone for Gyarados,Held Mega stone,Mega trigger stone
GYRO BALL,Steel physical move,Gen IV Steel move,boosting move,debuffing move,
HABAN BERRY,Tradable exchange item,Exchangeable collectible,PokBlock and Poffin berry,Berry-blending ingredient,
HADRON ENGINE,Miraidon's signature Ability,Gen IX ability,,,
HAIL,Ice status move,Gen III Ice move,,,
HAINA DESERT,Site on Route 13,Island location,Alola route,Ancient regional ruins,Alola landmark
HAKAMO O,Scaly Pokemon,Dragon egg-group species,,,
HAMMER ARM,Fighting physical move,Gen IV Fighting move,100-power move,debuffing move,
HAMMERLOCKE,Galar city,Galar landmark,Urban landmark,City in Galar,
HANO BEACH,Alola island,Island in Alola,Regional island,Island location,
HAPPINY,Playhouse Pokemon,No-Eggs egg-group species,,,
HAPPY HOUR,Normal status move,Gen VI Normal move,,,
HARDEN,Normal status move,Gen I Normal move,boosting move,,
HARD PRESS,Steel physical move,Gen IX Steel move,0-power move,,
HARD STONE,The Holder'S Rock-Type Moves By Power boost item,Boosts Rock moves for The Holder',Rock-move booster,Signature orb for The Holder',Species-specific power orb
HARIYAMA,Paradox Pokemon,Gen III Arm Thrust Pokemon,Gen III Fighting species,Evolves from Makuhita,Humanshape egg-group species
HARVEST,May restore a used Berry,Berry-regrowing trait,Weather-linked trait,,
HATENNA,Calm Pokemon,Gen VIII Calm Pokemon,Gen VIII Psychic species,Fairy egg-group species,
HATTERENE,Fairy Pokemon,Gen VIII Silent Pokemon,Gen VIII Psychic/Fairy species,Evolves from Hattrem,Fairy egg-group species
HATTREM,Serene Pokemon,Gen VIII Psychic species,Evolves from Hatenna,Fairy egg-group species,
HAUNTER,Gas Pokemon,Gen I Ghost/Poison species,Evolves from Gastly,Indeterminate egg-group species,
HAUOLI,Alola landmark,,,,
HAWLUCHA,Wrestling Pokemon,Mega form turns Fighting/Flying,Gen VI Fighting/Flying species,Flying egg-group species,
HAXORUS,Axe Jaw Pokemon,Gen V Dragon species,Evolves from Fraxure,Monster egg-group species,
HAZE,Ice status move,Gen I Ice move,,,
HEADBUTT,Normal physical move,Gen I Normal move,70-power move,flinch-causing move,
